################################################################################
# Collectl:   V4.3.1-1  HiRes: 1  Options: -sCDNfM -omT --dskopts z --cpuopts z -i .1 --sep , -P -f /home/jacob/RUIS/tmp.Lg6voQtaRI 
# Host:       ct01  DaemonOpts: 
# Booted:     1615262611.27 [20210308-23:03:31]
# Distro:     debian bullseye/sid, Ubuntu 20.04.2 LTS  Platform: Unknown
# Date:       20210505-195040  Secs: 1620258640 TZ: -0400
# SubSys:     CDNfM Options: mT Interval: .1 NumCPUs: 32 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 1000.070 Cores: 16  Siblings: 32 Nodes: 1
# Kernel:     4.18.0-147.5.1.el8_1.x86_64  Memory: 131380412 kB  Swap: 4194300 kB
# NumDisks:   5 DiskNames: sda sdb dm-0 dm-1 dm-2
# NumNets:    8 NetNames: eno1:1000 docker0:?? lo:?? ens2f1:25000 idrac:?? vethd4beeca:10000 eno2:1000 ens2f0:10000
# SCSI:       CD:14:00:00:00 DA:0:00:00:00 DA:0:00:01:00
################################################################################
#Date,Time,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits
20210505,19:50:50.401,124463880,6916532,7614460,279516,572996,153600,93745932,100.00
20210505,19:50:50.501,124471920,6908492,7614884,279516,573492,153600,93753400,100.00
20210505,19:50:50.601,124478036,6902376,7615324,279516,573532,153600,93758940,100.00
20210505,19:50:50.701,124489368,6891044,7615556,279516,573536,153600,93769788,100.00
20210505,19:50:50.801,124496828,6883584,7615556,279516,573536,153600,93777168,100.00
20210505,19:50:50.901,124506352,6874060,7616860,279516,574116,153600,93785312,100.00
20210505,19:50:51.001,124513144,6867268,7617372,279516,574148,153600,93791436,100.00
20210505,19:50:51.101,124521576,6858836,7617940,279516,574180,153600,93798584,100.00
20210505,19:50:51.201,124525568,6854844,7618132,279516,574184,153600,93802256,100.00
20210505,19:50:51.301,124528896,6851516,7618612,279516,574356,153600,93804156,100.00
20210505,19:50:51.401,124530856,6849556,7618804,279516,574356,153600,93805880,100.00
20210505,19:50:51.501,124544636,6835776,7618988,279516,574356,153600,93819456,100.00
20210505,19:50:51.601,124548424,6831988,7619100,279516,574368,153600,93822888,100.00
20210505,19:50:51.701,124550216,6830196,7619400,279516,574492,153600,93823616,100.00
20210505,19:50:51.801,124558656,6821756,7619844,279516,578572,153600,93827912,100.00
20210505,19:50:51.901,124569700,6810712,7621440,279516,579188,153600,93837436,100.00
20210505,19:50:52.001,124579284,6801128,7621440,279516,579188,153600,93846124,100.00
20210505,19:50:52.101,124585008,6795404,7621648,279516,579188,153600,93851332,100.00
20210505,19:50:52.201,124591256,6789156,7622368,279516,579200,153600,93856896,100.00
20210505,19:50:52.301,124597872,6782540,7622916,279516,578960,153600,93862196,100.00
20210505,19:50:52.401,124601648,6778764,7623348,279516,578964,153600,93865808,100.00
20210505,19:50:52.501,124612408,6768004,7623604,279516,578968,153600,93875132,100.00
20210505,19:50:52.601,124621800,6758612,7623620,279516,578968,153600,93883772,100.00
20210505,19:50:52.701,124635508,6744904,7624044,279516,578980,153600,93897516,100.00
20210505,19:50:52.801,124643060,6737352,7624060,279516,578984,153600,93905076,100.00
20210505,19:50:52.901,124654524,6725888,7625416,279516,579268,153600,93916520,100.00
20210505,19:50:53.001,124663768,6716644,7625416,279516,579268,153600,93925832,100.00
20210505,19:50:53.101,124671184,6709228,7625416,279516,579268,153600,93933236,100.00
20210505,19:50:53.201,124680420,6699992,7625416,279516,579268,153600,93942464,100.00
20210505,19:50:53.301,124685644,6694768,7625416,279516,579268,153600,93947564,100.00
20210505,19:50:53.401,124689876,6690536,7625416,279516,579268,153600,93950204,100.00
20210505,19:50:53.501,124700136,6680276,7625416,279516,579268,153600,93959840,100.00
20210505,19:50:53.601,124707944,6672468,7625432,279516,579268,153600,93967520,100.00
20210505,19:50:53.701,124711168,6669244,7625952,279516,579268,153600,93969152,100.00
20210505,19:50:53.801,124724568,6655844,7626076,279516,579276,153600,93981772,100.00
20210505,19:50:53.901,124743000,6637412,7629000,279516,579308,153600,94000208,100.00
20210505,19:50:54.001,124756768,6623644,7629056,279516,579308,153600,94013936,100.00
20210505,19:50:54.101,124761288,6619124,7629088,279516,579308,153600,94018488,100.00
20210505,19:50:54.201,124768808,6611604,7629104,279516,579308,153600,94025888,100.00
20210505,19:50:54.301,124771028,6609384,7629568,279516,579324,153600,94026864,100.00
20210505,19:50:54.401,124784956,6595456,7629760,279516,579328,153600,94040968,100.00
20210505,19:50:54.501,124793260,6587152,7629896,279516,579328,153600,94048456,100.00
20210505,19:50:54.601,124800212,6580200,7630376,279516,579340,153600,94054748,100.00
20210505,19:50:54.701,124804864,6575548,7630836,279516,579348,153600,94058272,100.00
